trip_id,driver_id,date,iso_week,day_of_week,stop_sequence,location_id,location_code,location_name,latitude,longitude,visit_time,visit_duration_min,distance_from_prev_km,travel_duration_from_prev_min,traffic_category,region,store_density,priority,daily_stop_count,route_total_distance_km,route_total_travel_min,route_efficiency_score
D01-2026-03-23,D01,2026-03-23,2026-W13,0,1,L002,B,Store B,23.054435,72.582907,08:58,24,4.76,13.96,medium,north,0.596,1,8,46.842,128.69,0.808
D01-2026-03-23,D01,2026-03-23,2026-W13,0,2,L014,N,Store N,23.06393,72.571711,09:30,17,2.139,7.13,medium,north,0.272,4,8,46.842,128.69,0.808
D01-2026-03-23,D01,2026-03-23,2026-W13,0,3,L018,R,Store R,23.020022,72.610523,10:15,19,8.021,28.64,high,industrial,0.348,4,8,46.842,128.69,0.808
D01-2026-03-23,D01,2026-03-23,2026-W13,0,4,L066,BN,Store BN,23.003476,72.609487,10:42,37,2.328,7.99,high,industrial,0.152,2,8,46.842,128.69,0.808
D01-2026-03-23,D01,2026-03-23,2026-W13,0,5,L024,X,Store X,22.991964,72.617173,11:25,41,2.186,6.23,high,industrial,0.592,3,8,46.842,128.69,0.808
D01-2026-03-23,D01,2026-03-23,2026-W13,0,6,L028,AB,Store AB,23.012768,72.640552,12:21,28,4.637,14.28,high,east,0.442,2,8,46.842,128.69,0.808
D01-2026-03-23,D01,2026-03-23,2026-W13,0,7,L058,BF,Store BF,23.028704,72.658033,12:58,14,3.097,9.75,high,east,0.723,5,8,46.842,128.69,0.808
D01-2026-03-23,D01,2026-03-23,2026-W13,0,8,L005,E,Store E,23.061481,72.504036,13:53,40,19.675,40.7,low,west,0.555,1,8,46.842,128.69,0.808
D02-2026-03-23,D02,2026-03-23,2026-W13,0,1,L014,N,Store N,23.06393,72.571711,08:51,25,2.755,6.85,medium,north,0.272,4,5,35.27,88.27,0.95
D02-2026-03-23,D02,2026-03-23,2026-W13,0,2,L001,A,Store A,23.019581,72.568967,09:38,21,6.682,21.63,severe,central,0.515,2,5,35.27,88.27,0.95
D02-2026-03-23,D02,2026-03-23,2026-W13,0,3,L007,G,Store G,23.018842,72.584676,10:07,21,2.119,7.68,severe,central,0.406,1,5,35.27,88.27,0.95
D02-2026-03-23,D02,2026-03-23,2026-W13,0,4,L039,AM,Store AM,22.990237,72.588702,10:38,31,4.138,10.41,medium,south,0.42,5,5,35.27,88.27,0.95
D02-2026-03-23,D02,2026-03-23,2026-W13,0,5,L023,W,Store W,23.063614,72.474335,11:51,9,19.576,41.71,low,west,0.415,5,5,35.27,88.27,0.95
D03-2026-03-23,D03,2026-03-23,2026-W13,0,1,L051,AY,Store AY,22.967069,72.591557,08:47,27,0.795,2.3,medium,south,0.307,1,7,43.678,135.37,0.757
D03-2026-03-23,D03,2026-03-23,2026-W13,0,2,L069,BQ,Store BQ,22.975325,72.606437,09:20,17,2.153,6.47,medium,south,0.426,4,7,43.678,135.37,0.757
D03-2026-03-23,D03,2026-03-23,2026-W13,0,3,L060,BH,Store BH,22.987802,72.63076,09:49,32,3.382,12.11,high,industrial,0.229,5,7,43.678,135.37,0.757
D03-2026-03-23,D03,2026-03-23,2026-W13,0,4,L054,BB,Store BB,23.019539,72.64297,10:39,13,5.1,17.58,high,industrial,0.273,5,7,43.678,135.37,0.757
D03-2026-03-23,D03,2026-03-23,2026-W13,0,5,L070,BR,Store BR,23.033811,72.669165,11:05,18,3.955,12.92,high,east,0.91,1,7,43.678,135.37,0.757
D03-2026-03-23,D03,2026-03-23,2026-W13,0,6,L061,BI,Store BI,23.055123,72.560227,12:15,14,16.2,52.07,severe,central,0.834,5,7,43.678,135.37,0.757
D03-2026-03-23,D03,2026-03-23,2026-W13,0,7,L065,BM,Store BM,23.042302,72.468112,13:01,35,12.093,31.91,low,west,0.573,1,7,43.678,135.37,0.757
D04-2026-03-23,D04,2026-03-23,2026-W13,0,1,L028,AB,Store AB,23.012768,72.640552,08:09,23,3.144,9.22,high,east,0.442,2,6,27.111,81.97,0.73
D04-2026-03-23,D04,2026-03-23,2026-W13,0,2,L010,J,Store J,23.007342,72.633356,08:35,36,1.305,3.77,high,east,0.567,2,6,27.111,81.97,0.73
D04-2026-03-23,D04,2026-03-23,2026-W13,0,3,L012,L,Store L,22.986719,72.630134,09:23,18,3.334,11.2,high,industrial,0.377,3,6,27.111,81.97,0.73
D04-2026-03-23,D04,2026-03-23,2026-W13,0,4,L039,AM,Store AM,22.990237,72.588702,09:58,23,5.987,17.36,medium,south,0.42,5,6,27.111,81.97,0.73
D04-2026-03-23,D04,2026-03-23,2026-W13,0,5,L007,G,Store G,23.018842,72.584676,10:37,18,4.376,16.25,severe,central,0.406,1,6,27.111,81.97,0.73
D04-2026-03-23,D04,2026-03-23,2026-W13,0,6,L044,AR,Store AR,23.077308,72.577708,11:19,19,8.964,24.16,medium,north,0.242,4,6,27.111,81.97,0.73
D05-2026-03-23,D05,2026-03-23,2026-W13,0,1,L056,BD,Store BD,23.075197,72.593745,09:08,19,14.935,38.49,medium,north,0.508,2,8,48.254,113.86,0.771
